TweetID,LangID,TopicID,HateLabel
1344794359233998850,1,1,0
1344794162625916935,1,1,0
1344794094837637121,1,1,0
1344790842117140483,1,1,0
1344788907360190465,1,1,0
1344788699549200388,1,1,0
1344788434267869192,1,1,0
1344787901180211201,1,1,0
1344787899292651520,1,1,0
1344782349834178560,1,1,0
1344780642383441920,1,1,0
1344780178363277313,1,1,0
1344777615500922880,1,1,0
1344777393802604544,1,1,0
1344775972340563970,1,1,0
1344775850210848768,1,1,0
1344775796959965184,1,1,0
1344774380618981379,1,1,0
1344774042977402880,1,1,0
1344773081584300033,1,1,0
1344772051542958085,1,1,0
1344769770869186561,1,1,0
1344769584231022593,1,1,0
1344768874202374145,1,1,0
1344767575478177792,1,1,0
1344766139126206466,1,1,0
1344763028735197191,1,1,0
1344761075821142017,1,1,0
1344760103266779136,1,1,0
1344758746073817088,1,1,0
1344757912858578944,1,1,0
1344757747003355137,1,1,0
1344756968007806978,1,1,0
1344754165797404672,1,1,0
1344753716927324160,1,1,0
1344752704560771075,1,1,0
1344752574558298113,1,1,0
1344745501468614657,1,1,0
1344745451933769729,1,1,0
1344744710452121602,1,1,0
1344743768616943616,1,1,0
1344743695925432320,1,1,0
1344742544517656576,1,1,0
1344740249205936128,1,1,0
1344739731775442944,1,1,0
1344738632796553216,1,1,0
1344738213986910208,1,1,0
1344737404603817990,1,1,0
1344733920714227712,1,1,0
1344733677914370050,1,1,0
1344732891901616128,1,1,0
1344732863065821184,1,1,0
1344732668483801088,1,1,0
1344731317586505728,1,1,0
1344730322051735553,1,1,0
1344729510068031495,1,0,0
1344729048719781888,1,0,0
1344727525134655489,1,1,0
1344727383555919872,1,1,0
1344725287582404609,1,1,0
1344721603725307906,1,1,0
1344716803738660865,1,1,0
1344715542746329090,1,1,0
1344714964888596482,1,1,0
1344711402632654850,1,1,0
1344709092628193288,1,1,0
1344707529213792256,1,1,0
1344707261155962880,1,1,0
1344706877217792005,1,1,0
1344706773245038592,1,1,0
1344704720267575301,1,1,0
1344703368510533633,1,1,0
1344700345025400833,1,1,0
1344698852121710592,1,1,0
1344697465308655621,1,1,0
1344697414154924035,1,1,0
1344695991237304327,1,1,0
1344694406180438017,1,1,0
1344693641995030528,1,1,0
1344690884932210689,1,1,0
1344690603645255681,1,1,0
1344690163230896130,1,1,0
1344689776322961410,1,1,0
1344689167981187080,1,1,0
1344689142358163456,1,1,0
1344687115276345344,1,1,0
1344685559340478464,1,1,0
1344683866158735361,1,1,0
1344683514730577923,1,1,0
1344683426104963073,1,1,0
1344683015138496514,1,1,0
1344681472351821824,1,1,0
1344681043987628032,1,1,0
1344680654647275520,1,1,0
1344680107055722497,1,1,0
1344679626724028417,1,1,0
1344679129841594369,1,1,0
1344677820816044037,1,1,0
1344676924220727298,1,1,0
1344674811621027847,1,1,0
1344674786765647872,1,1,0
1344674572713533440,1,1,0
1344674286498361344,1,1,0
1344673522724044802,1,1,0
1344673060247494656,1,1,0
1344671942750584832,1,1,0
1344671113759100929,1,1,0
1344670901845909504,1,1,0
1344670574874750976,1,1,0
1344670545636454401,1,1,0
1344670111790211075,1,1,0
1343613049836613633,1,1,0
1343612223139282945,1,1,0
1343611126131654658,1,1,0
1343610755497811970,1,1,0
1343609700038955020,1,1,0
1343609555352227840,1,1,0
1343609064031461379,1,1,0
1343608734623346689,1,1,0
1343608230644244481,1,1,0
1343606890639618050,1,1,0
1343606634954674177,1,1,0
1343606401034293248,1,1,0
1343606199514705920,1,1,0
1343605544188313607,1,1,0
1343605483115065344,1,1,0
1343605220706758657,1,1,0
1343603590498316289,1,1,0
1343603499658076160,1,1,0
1343603389226213376,1,1,0
1343602711703531523,1,1,0
1343602675120812037,1,1,0
1343601730471292928,1,1,0
1343601673273548802,1,1,0
1343601016181288963,1,1,0
1343600652186955778,1,1,0
1343600512696864769,1,1,0
1343599865138356224,1,1,0
1343599384693452800,1,1,0
1343599068535115778,1,1,0
1343598710828249089,1,1,0
1343596905847255040,1,1,0
1343595845011255296,1,1,0
1343595623199764480,1,1,0
1343595404714119168,1,1,0
1343595339920662528,1,1,0
1343594899472592901,1,1,0
1343594512426426370,1,1,0
1343594331827924992,1,1,0
