TweetID,LangID,TopicID,HateLabel,tweet_text
1344702716900216834,0,1,2,
1344683235775803395,0,1,2,"Bu ahlaksız olaya sessiz kalan mor hesaplar sizinde canınız cehenneme. 
En az Katil ve Katili koruyan CHP li Süleyman Girgin kadar sizde suçlusunuz! Bir daha kadın cinayetleri hakkında konuşursanız şerefsizsiniz https://t.co/YS1xeqmW2E"
1344620612329857024,0,1,2,Kadın cinayetleri için adalet için tecavüz edilen (Kur'an kurslarında ) çocuklar  için yırtın kendinizi . Daha sayacak o kadar çok şey var ki . Buysa dininiz yere batsın . İnsanin merhameti vicdani sevgisi saygısı nerde ...  #MüslümanNoelKutlamaz
1344381573404221441,0,1,2,
1344314485377544196,0,1,2,
1344271050213830656,0,1,2,
1344218410239078401,0,1,2,Yaa kadın cinayetleri niye bu kadar çoğaldı sizi istemiyorlarsa niye saplantı haline getiriyorsunuz belki Allah mutluluğu başkası ile yazdı her ikinizede Allahı inancınız bu kadar mı zayıfladı ya yakmak nedir diri diri Allah yok etsin
1344216116298702848,0,1,2,"#haber #gundem #Turkiye #kadıncinayetlerisonbulsun 
Ülke cani hayvanlarla dolu ,erkek egoları yüksek olan bir Ülkede yaşıyoruz.Kadın cinayetleri Ülkemizin büyük ayıbı ve sorunlarından biridir.Gerekirse yasa ile bu caniler bence idam edilmelidir.https://t.co/pcVAbr59QQ"
1344203195342610433,0,1,2,"#Kadın cinayetleri vahşice labetliyoruz
#Bu cinayet leri de
Devleti suçlayan gevşekler
12 yaşındaki kız çocuklarını kaçırıp
Dağdaki beygirlere peşkeş çekenler
Taciz ve tecavüz için kör sağır olanlar az şerefsiz deyiller."
1344046053331501062,0,1,2,"Bugün bu ülkede üç kadın öldürüldü. 
Bitmiyor kadın cinayetleri durmuyor yeter artık ne sizin derdiniz soyunuz kurusun yeter!!! 
#vesiledonmez  #aylinsozer #seldatas"
1344018762358534150,0,1,2,"Artık ne haberleri izliyorum ne de internetten açıp okuyorum. Çünkü yine kadın cinayetleri ve yine adaletsizliği görmekten içim acıyor. Nefret doluyum. Lanet olsun. İnsan değil bunları yapanlar. Artık yeter! Yeter artık. Sesimizi duyun artık. En ağır cezaları verin!

 #AylinSözer https://t.co/U0zXpBIagv"
1344014600447156226,0,1,2,"Kadın cinayetleri vahşice devam ediyor , bu katiller en ağır cezaları almalılar ve hiç bir şekilde iyi hal veya tahrik var gibi saçma sapan ceza indirimi almamaları lazım...
Lanet olsun.."
1344008487479762949,0,1,2,
1344003037787017218,0,1,2,"#BizdekiTÜRKİYEaşkı sizin feminist, terörist, ahlaksız rezil fikirlerinizi, illegal derneklerinizi yerle bir edecek!. Meselelere fox haber ağzı ile bakan iğrenç 🤮 sapkınlar.. Allah mühlet verir, sonra gazabını gösterir. (#Covid_19) Ne zaman uyanacaksınız?! 🤔"
1343999261881626625,0,1,2,
1343994185951678467,0,1,2,"Bugün 3 kadın, 3 insan.

Lanet olsun bu insanları bu duruma düşüren zihniyete.

Kadın=erkek ve hatta kadın&gt;erkek.

Pozitif ayrımcılık yapmak zorunda kalmak da ne kadar utanç verici!"
1343984104870731776,0,1,2,#VesileDönmez kadın cinayetleri politiktir. Zihniyet sorunudur. Lanet olsun erkekneğemen zihniyeti kutsalkaştıranlara
1343980701281087488,0,1,2,Akademisyen Eğitimci  #AylinSözer vahşice katledildi.Aylin Hocaya Allah’tan rahmet diliyorum.Kadın cinayetleri içimizi yakmaya devam ediyor.Şiddetin her türlüsüne lanet olsun.
1343968787721310210,0,1,2,Artık cümleler kelimeler bitti yazacak sözler bitti kadın cinayetleri bitmedi lanet olsun... #AylinSözer https://t.co/kUqEgAzJis
1343964416761622531,0,1,2,Kadın cinayetleri artık son bulsun  kadına kalkan eller yok olsun.  #AylinSoezer https://t.co/SXrKLRb3e9
1343955977910050816,0,1,2,"Kadın cinayetleri bu toplumun en büyük problemlerinden biridir.
Cezalar hızlıca uygulanmalı, caydırıcı olmak zorundadır. 
Bu toplumsal problem derhal çözülmeli.
Aksi halde toplum bu caniliklerin pisliğinde boğulacaktır.
Lanet olsun bu canilere!
#AylinSoezer 
#seldatas"
